type,name,notice,furigana
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Clothes case (wood&#44; plastic),Metal items are Non-burnable Garbage.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Chairs (wood&#44; plastic),Metal items are Non-burnable Garbage.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Container for drink (PET bottle&#44; plastic),Rinse the inside out with water and remove the lid and sorty them by type.,C
General Garbage,Cooking oil,Solidify the oil or absorb it with paper.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Crown cap,Put them into bags.,C
General Garbage,Cards (credit&#44; telephone),,C
General Garbage,Carbon paper,,C
General Garbage,Cassette tapes,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Curtain Rail,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cassette deck,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cameras,Please remove batteries.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Calendars  (metal parts),Used paper. (except metal parts),C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Can opener,Please wrap the blade in paper or cloth.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Curtains,Fold and bind with string when throwing away.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Carpets,Roll up and bind with string.,C
General Garbage,Combs,Metal items are Non-burnable Garbage.,C
General Garbage,Cushions,Please make it smaller.,C
General Garbage,Crayons,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Chains,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Combs (metal),It is General Garbage unless it is made of metal.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Crystal glass,,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Cushions,Please make it smaller.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cosmetics containers,"Things made of glass or metal are burnable (don't mix them with glass bottles). Things made of plastic are ""Plastic Containers"".",C
General Garbage,Cosmetics containers,"Things made of glass or metal are burnable (don't mix them with glass bottles). Things made of plastic are ""Plastic Containers"".",C
General Garbage,Cork Stoppers,,C
General Garbage,Compacts,Metal items are Non-burnable Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cord Reel,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Coffee maker,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Compacts (metal),It is General Garbage unless it is made of metal.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Coffee cram containers,Wash the inside.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Coffee cram containers,Wash the inside.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Cushion,,C
General Garbage,CD,,C
General Garbage,Cooking oil,Solidify the oil or soak it up with paper.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,CD Radio-cassette player,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Cupboard (glass parts),Parts not made of glass else are Oversized General Garbage.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Carpets,Roll up and bind with string.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Cupboards,Parts made of glass are Non-burnable.,C
General Garbage,Canteen,Metal items are Non-burnable Garbage.,C
General Garbage,Charcoal&#44; ink,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Canteen,It is General Garbage or Oversized Burnable Garbage unless it is made of metal.,C
General Garbage,Clothes pins,Metal items are Non-burnable Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Crockery (rice bowls),,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clothes pins,It is General Garbage unless it is made of metal.,C
General Garbage,Cigarette butts,Use water to make sure the fire is out.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Child car seats,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clocks (watches&#44; wall clocks),,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Cabnets,Parts made of glass are Non-burnable.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Corrugated sheet,Only for small quantities. For large quantities inquire at retail stores.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Corrugated sheet,Only for small quantities. For large quantities inquire at retail stores.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clay (educational use),,C
General Garbage,Chopsticks (non-metal),Metal items are Non-burnable Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Chopsticks (metal),It is General Garbage unless it is made of metal.,C
General Garbage,Chopping boards,For large items place with Oversized Burnable Garbage.,C
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Chopping boards (large size),For small items place with General Garbage.,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Conditioner containers,Rinse the inside out with water and remove the lid.,C
General Garbage,Candle,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clothes dryers,,C
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Clothes irons,,C
General Garbage,Cups,Things made of glass&#44; ceramic or metal are Non-burnable.,C
General Garbage,Dentures,,D
General Garbage,Dry cleaning bags,,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Deodorizer spray cans,Use up the contents and be sure to open a hole in the side.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Dressers,Break down to make it as small as possible.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Deoderizer containers,If things are made of glass or metal&#44; place with Non-burnable garbage. If it is plastic&#44; placce with Plastic Containers.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Deoderizer containers,Things made of metal or glass are Non-burnable.,D
General Garbage,Disposable chopsticks,,D
General Garbage,Disposable diapers (paper&#44; cloth),Drain it down the toilet.,D
General Garbage,Desiccating agents,,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Desks and chairs (metal),It is Oversized Burnable Garbage unless it is made of metal.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Desks and chairs (non-metal),Metal items are Non-burnable Garbage.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Dead grass (large quantity),If there are fewer than 3 bags&#44; they are General Garbage.,D
General Garbage,Door mats,Fold it and bind it with rope. If the things are big&#44; they are Oversized Burnable Garbage.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Door mats ,Fold it and bind it with rope. Small ones are General Garbage.,D
General Garbage,Dishes,Things made of wood&#44; plastic&#44; paper are General Garbage. Things made of metal&#44; glass&#44; ceramics are Non-burnable Burbage.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Dishes,Things made of wood&#44; plastic&#44; paper are General Garbage. Things made of metal&#44; glass&#44; ceramics are Non-burnable Burbage.,D
General Garbage,Desk Pad,,D
General Garbage,Dehumidifying Agents,,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Dehumidifier,,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Duckboards,,D
General Garbage,Detergent containers (paper),Made of plastic is plastic container.(Use refillable products whenever possible.),D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Detergent containers (plastic),Made of paper are General Garbage.(Use refillable products whenever possible.),D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Detergent containers (plastic),Made of paper are General Garbage.(Use refillable products whenever possible.),D
General Garbage,Deodorants,,D
General Garbage,Dustpans,Metal items are Non-burnable Garbage.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Dustpans (metal),It is General Garbage or Oversized Burnable Garbage unless it is made of metal.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Dustpans,Metal items are Non-burnable Garbage.,D
General Garbage,DVD case,,D
General Garbage,desk mat,For large items place with Oversized Burnable Garbage after rolling it up and binding it with string. Then throw out.,d
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,DVD players,,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Desk lamp,,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Desk mat,For large items place with Oversized Burnable Garbage after rolling it up and binding it with string. Then throw out.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Dresser&#44; dressing table (mirror parts),Parts other than the mirror are Oversized Burnable Garbage.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Dresser&#44; dressing table,Mirror parts are Non-burnable.,D
General Garbage,Doll not made of metal or ceramic,Things made of metal or ceramic are Non-burnable.,D
General Garbage,Doll case not made of glass,Things made of glass are Non-burnable.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Doll (metal or ceramic),Items other than metal and ceramic are General Garbage or Oversized General Garbage.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Doll case (glass),Items other than glass are General Garbage or Oversized General Garbage.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Doll not made of metal or ceramic,Things made of metal or ceramic are Non-burnable.,D
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Doll case not made of glass,Things made of glass are Non-burnable.,D
General Garbage,Dog and cat waste,Dispose of int the toilet. Clean up after your pets.,D
General Garbage,Dead leaves,Up to 3 (45L) bags once.,D
General Garbage,Dink cartons (silver lining),For items that don't have a silver lining&#44; cut it and rinse with water&#44; then place with used paper.,D
General Garbage,Diaper covers,,D
General Garbage,Disposable diapers,Drain it down the toilet.,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Dish washer&#44; Dish dryer,,D
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Extension cords (cable),Bind and dispose.,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric fans,,E
General Garbage,Eggshells,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Egg container,,E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Egg container,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric appliance (household use) (other than reprigerators&#44; freezers&#44; televisions&#44; air conditoners&#44; washing machines&#44; and clothes dryers),*Refrigerator&#44; Freezer&#44; TV&#44; Air-Conditioner&#44; Washing Machine&#44; Clothes Dryer is received by Stores. Refer to the schedule and Garbage separation sections for details.,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric kotatsu (electric heater part),Parts other than the electric heater are Oversized Burnable Garbage.,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric kettles,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric organ,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electronic thermometer,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electric cords (extension cord),Bind and dipose.,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Electronic calculator,Please remove batteries. (Except Solar batteries.),E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Electric heated carpet,Roll up and bind with string.,E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Electric kotatsu,Part of electric heater is Non-burnable.,E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Electric blanket,Fold and bind with string when throwing away.,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Earthenware&#44; ceramics,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Earthenware pot,,E
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Earthenware teapot,,E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Electric heated carpets,Roll up and bind with string.,E
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Flowerpots (non-metal and non-ceramic),Things made of metal or ceramic are Non-burnable.,F
General Garbage,Feeding bottles,Things made of glass are Non-burnable.,F
General Garbage,Floor cloths,Put with General Garbage after drying.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flat glass,When you purchase a new one&#44; have the retail store dispose of it for you.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flowerpot (ceramic),Remove all dirt. Things made of plastic are Oversized Burnable Garbage.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Flowerpot (plastic),Remove all dirt. Ceramic is Oversized Burnable Garbage.,F
General Garbage,Frame (non-metal),Metal items are Non-burnable Garbage.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flashlight,Please remove batteries.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Furniture (metal),It is Oversized Burnable Garbage unless it is made of metal.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Furniture (non-metal),Metal items are Non-burnable Garbage.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Fluorescent light bulbs,Separate from other Non-burnable Garbage when throwing out.,F
General Garbage,Felt tipped pen,,F
General Garbage,Fomentation,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Food tray,Regarding styrofoam tray&#44; use the collection box at supermarket.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Food tray,Regarding styrofoam tray&#44; use the collection box at supermarket.,F
General Garbage,Folding fans,Metal items are Non-burnable Garbage.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Folding fans,It is General Garbage unless it is made of metal.,F
General Garbage,Fishing line,When you purchase a new one&#44; have the retail store dispose of it for you.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Fishing rod,,F
General Garbage,Fireworks,Immerse it in water&#44; make sure to extinguish the fire.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flower pots (metal or ceramic),,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Firing tray,Please cooperation in bringing items to the collection box at supermarkets etc.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Firing trays,Please cooperation in bringing items to the collection box at supermarkets etc.,F
General Garbage,File classes (stationery),,F
General Garbage,Fax papers,,F
General Garbage,Films (negatives),,F
General Garbage,Forks,Metal items are Non-burnable Garbage.,F
General Garbage,Floppy disks,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Fax machine,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Fan heaters,Please use up on remove all the oil before discarding.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Forks (metal),,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Futon dryers,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Frying pans,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flowerpots,,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Futon,Fold and bind with string when throwing away.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Flowerpots,,F
General Garbage,Felttip pens,Metal items are Non-burnable Garbage.,F
General Garbage,Fountain pens,Metal items are Non-burnable Garbage.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Fountain pens,Metal items are Non-burnable Garbage.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Felttip pens,Metal items are Non-burnable Garbage.,F
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Firm-sided backpack (backpacks used by primary grade students),,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Feeding bottle (glass),It is General Garbage unless it is made of glass.,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Flashlight bulbs,Separate from other Non-burnable Garbage when throwing out.,F
General Garbage,Film negativges,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Folding chair,,F
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Glass bottles (other than cosmetic or drug bottles),Rinse the inside out with water and remove the lid. (Cosmetic and medicine bottles are Non-burnable.) ,G
General Garbage,Glasses (plastic lens and frames),,G
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Garden plant,Have a retailer dispose of it when possible&#44; when throwing away&#44; cut smaller than 10cm x 1m and bind together.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gas water heater (household size),When you purchase a new one&#44; have the retail store dispose of it for you.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gas cookers,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gas stoves,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gas ranges,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gas canisters,Use up the contents and be sure to open a hole in the side.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Glass doors,When you purchase a new one&#44; have the retail store dispose of it for you.,G
General Garbage,Goldfish basins,Things made of glass are Non-burnable.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Guitars(metal),It is Oversized Burnable Garbage unless it is made of metal.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Gimlet (tool),Please wrap the blade in paper or cloth.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Goldfish bowls,Items other than glass are General Garbage or Oversized General Garbage.,G
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Goldfish bowls,Things made of glass are Non-burnable.,G
General Garbage,Gloves,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Glow lamps starter lamp bulbs,Separate from other Non-burnable Garbage when throwing out.,G
General Garbage,Game software,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Game hardware,Separate from other Non-burnable Garbage when throwing out. Have a retailer dispose of button and Nickel rechargeable batteries.,G
General Garbage,Goggles,,G
General Garbage,Golf balls,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Go stones,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Golf club,,G
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Goza mat,Fold and bind with string when throwing away.,G
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Golf bag,,G
General Garbage,Gloves,,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Glasses (metal),,G
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Guitars (non-metal),Metal items are Non-burnable Garbage.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Galvarized iron sheets,Only for small quantities. For large quantities inquire at retail stores.,G
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Heating pads (metal),Disposable Cairo is General Garbage.,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Hair dryers,,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Humidifiers,,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Home appliances (*except refigerators&#44; freezers&#44; TV&#44; A/C&#44; washing machines&#44; dryers),*Refrigerator&#44; Freezer&#44; TV&#44; Air-Conditioner&#44; Washing Machine&#44; Clothes Dryer is received by Stores. Refer to the schedule and Garbage separation sections for details.,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Hammers,,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Heaters&#44; Fan heaters (stoves),Please make sure you remove any kerosene and batteries.,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Heat-resistant glass&#44; tablewares,,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Hook,Separate from other Non-burnable Garbage when throwing out.,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Hangers (wire core),,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Hanko stamp (stone or metal),,H
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Hangers,If it has a wire core&#44; place with Non-burnable Garbage.,H
Non-burnable&#44; Cans&#44; Bottles&#44; Plastic Containers,Headphones,,H
Oversized Burnable Garbage&#44; PET Bottles&#44; Plastic Containers,Helmets,,H
